,home_team,away_team,neutral,home_team_ranking,away_team_ranking,home_winning_count,home_drawing_count,away_winning_count,away_drawing_count,home_win_away,away_win_home,home_draw_away,home_mean_goal_diff,away_mean_goal_diff,predicted_outcome,predicted_winner,home_winning_proba,away_winning_proba,draw_proba
0,Russia,Saudi Arabia,0,62.0,65.0,0.5119402989999999,0.264179104,0.478849408,0.223350254,0,1,0,0.7477611940000001,0.5143824029999999,1,Russia,0.5550684928894043,0.19342952966690063,0.2515019476413727
1,Egypt,Uruguay,1,30.0,22.0,0.48776509,0.24959217,0.43255814,0.244186047,0,1,0,0.5986949429999999,0.31744186,1,Egypt,0.40716552734375,0.3210429251194,0.27179157733917236
2,Morocco,Iran,1,39.0,200.0,0.461386139,0.29702970300000003,0.543933054,0.257322176,0,0,2,0.554455446,1.025104603,1,Morocco,0.480868399143219,0.2525270879268646,0.2666045129299164
3,Portugal,Spain,1,3.0,6.0,0.480607083,0.23102866800000002,0.582089552,0.22835820899999998,8,15,13,0.502529511,1.082089552,1,Portugal,0.4407837390899658,0.29468390345573425,0.2645323574542999
4,France,Australia,1,9.0,36.0,0.489544895,0.21402214,0.496,0.218,2,1,1,0.441574416,0.9,1,France,0.4802916646003723,0.25160372257232666,0.26810458302497864
5,Argentina,Iceland,1,4.0,20.0,0.5372507870000001,0.248688353,0.312941176,0.185882353,0,0,0,0.820566632,-0.45647058799999995,1,Argentina,0.591622531414032,0.16880697011947632,0.2395704984664917
6,Peru,Denmark,1,11.0,12.0,0.324414716,0.24749163899999999,0.448320413,0.20801033600000002,0,0,0,-0.18060200699999998,0.38630491,0,Denmark,0.3584076464176178,0.3637368679046631,0.2778554856777191
7,Croatia,Nigeria,1,15.0,51.0,0.53559322,0.26779661,0.462385321,0.291743119,0,0,0,0.786440678,0.513761468,1,Croatia,0.5342808365821838,0.20581215620040894,0.2599070072174072
8,Costa Rica,Serbia,1,27.0,37.0,0.432758621,0.25517241399999996,0.44705882399999997,0.250980392,0,0,0,0.489655172,0.490196078,1,Costa Rica,0.46012797951698303,0.2559882402420044,0.2838837802410126
9,Germany,Mexico,1,1.0,17.0,0.586021505,0.205376344,0.501792115,0.23894862600000003,5,1,5,1.0870967740000002,0.6798088409999999,1,Germany,0.5947331190109253,0.1817350834608078,0.22353176772594452
10,Brazil,Switzerland,1,2.0,8.0,0.637605042,0.20063025199999998,0.34877734899999996,0.21621621600000002,3,2,3,1.273109244,-0.248391248,1,Brazil,0.6145873069763184,0.1594015508890152,0.22601117193698883
11,Sweden,Korea Republic,1,18.0,59.0,0.490433031,0.22054380699999998,0.5251798560000001,0.256594724,1,0,2,0.697885196,0.851318945,1,Sweden,0.5110671520233154,0.22560903429985046,0.2633237838745117
12,Belgium,Panama,1,5.0,53.0,0.42013422799999994,0.21879194600000001,0.315270936,0.25369458100000003,0,0,0,0.144966443,-0.379310345,1,Belgium,0.5967290997505188,0.16922499239444733,0.2340458333492279
13,Tunisia,England,1,23.0,16.0,0.419529837,0.289330922,0.567041965,0.243602866,0,1,1,0.379746835,1.2016376659999999,0,England,0.27358245849609375,0.45336759090423584,0.2730499505996704
14,Colombia,Japan,1,13.0,56.0,0.38068181799999995,0.276515152,0.475792988,0.23038397300000002,2,0,1,0.022727273,0.594323873,1,Colombia,0.5038037896156311,0.23519375920295715,0.2610025405883789
15,Poland,Senegal,1,7.0,24.0,0.429292929,0.252525253,0.43083004,0.274703557,0,0,0,0.333333333,0.324110672,1,Poland,0.4866849482059479,0.24840007722377777,0.26491495966911316
16,Russia,Egypt,0,62.0,30.0,0.5119402989999999,0.264179104,0.48776509,0.24959217,0,0,0,0.7477611940000001,0.5986949429999999,1,Russia,0.44260478019714355,0.28929823637008667,0.2680969536304474
17,Portugal,Morocco,1,3.0,39.0,0.480607083,0.23102866800000002,0.461386139,0.29702970300000003,0,1,0,0.502529511,0.554455446,1,Portugal,0.5353047847747803,0.20966285467147827,0.25503233075141907
18,Uruguay,Saudi Arabia,1,22.0,65.0,0.43255814,0.244186047,0.478849408,0.223350254,0,1,1,0.31744186,0.5143824029999999,1,Uruguay,0.5047378540039062,0.23103617131710052,0.2642259895801544
19,Iran,Spain,1,200.0,6.0,0.543933054,0.257322176,0.582089552,0.22835820899999998,0,0,0,1.025104603,1.082089552,0,Spain,0.2817145586013794,0.4300384521484375,0.2882469594478607
20,Denmark,Australia,1,12.0,36.0,0.448320413,0.20801033600000002,0.496,0.218,2,1,0,0.38630491,0.9,1,Denmark,0.4648215174674988,0.2623467445373535,0.2728317081928253
21,France,Peru,1,9.0,11.0,0.489544895,0.21402214,0.324414716,0.24749163899999999,0,1,0,0.441574416,-0.18060200699999998,1,France,0.46424734592437744,0.2647694945335388,0.27098309993743896
22,Argentina,Croatia,1,4.0,15.0,0.5372507870000001,0.248688353,0.53559322,0.26779661,2,1,1,0.820566632,0.786440678,1,Argentina,0.5652844905853271,0.19864724576473236,0.2360682487487793
23,Brazil,Costa Rica,1,2.0,27.0,0.637605042,0.20063025199999998,0.432758621,0.25517241399999996,9,1,0,1.273109244,0.489655172,1,Brazil,0.652649462223053,0.13669027388095856,0.21066023409366608
24,Nigeria,Iceland,1,51.0,20.0,0.462385321,0.291743119,0.312941176,0.185882353,0,1,0,0.513761468,-0.45647058799999995,1,Nigeria,0.40929481387138367,0.3159906268119812,0.27471452951431274
25,Serbia,Switzerland,1,37.0,8.0,0.44705882399999997,0.250980392,0.34877734899999996,0.21621621600000002,1,0,3,0.490196078,-0.248391248,0,Switzerland,0.28796738386154175,0.44277092814445496,0.2692616283893585
26,Belgium,Tunisia,1,5.0,23.0,0.42013422799999994,0.21879194600000001,0.419529837,0.289330922,1,1,1,0.144966443,0.379746835,1,Belgium,0.5135482549667358,0.22824165225028992,0.2582101821899414
27,Korea Republic,Mexico,1,59.0,17.0,0.5251798560000001,0.256594724,0.501792115,0.23894862600000003,3,6,2,0.851318945,0.6798088409999999,0,Mexico,0.28755685687065125,0.4233337938785553,0.28910934925079346
28,Germany,Sweden,1,1.0,18.0,0.586021505,0.205376344,0.490433031,0.22054380699999998,15,12,9,1.0870967740000002,0.697885196,1,Germany,0.5401138067245483,0.2115500122308731,0.24833622574806213
29,England,Panama,1,16.0,53.0,0.567041965,0.243602866,0.315270936,0.25369458100000003,0,0,0,1.2016376659999999,-0.379310345,1,England,0.6356563568115234,0.14626583456993103,0.21807779371738434
30,Japan,Senegal,1,56.0,24.0,0.475792988,0.23038397300000002,0.43083004,0.274703557,0,2,1,0.594323873,0.324110672,0,Senegal,0.32194769382476807,0.3934984505176544,0.2845538258552551
31,Poland,Colombia,1,7.0,13.0,0.429292929,0.252525253,0.38068181799999995,0.276515152,2,3,0,0.333333333,0.022727273,1,Poland,0.4000801146030426,0.3271675705909729,0.2727522552013397
32,Uruguay,Russia,0,22.0,62.0,0.43255814,0.244186047,0.5119402989999999,0.264179104,1,6,1,0.31744186,0.7477611940000001,1,Uruguay,0.5014711618423462,0.23764540255069733,0.2608833611011505
33,Saudi Arabia,Egypt,1,65.0,30.0,0.478849408,0.223350254,0.48776509,0.24959217,1,3,2,0.5143824029999999,0.5986949429999999,0,Egypt,0.296690434217453,0.41578373312950134,0.28752586245536804
34,Iran,Portugal,1,200.0,3.0,0.543933054,0.257322176,0.480607083,0.23102866800000002,0,2,0,1.025104603,0.502529511,1,Iran,0.3542053997516632,0.35100507736206055,0.294789582490921
35,Spain,Morocco,1,6.0,39.0,0.582089552,0.22835820899999998,0.461386139,0.29702970300000003,2,0,0,1.082089552,0.554455446,1,Spain,0.5770636200904846,0.18241627514362335,0.24052008986473083
36,Denmark,France,1,12.0,9.0,0.448320413,0.20801033600000002,0.489544895,0.21402214,4,8,1,0.38630491,0.441574416,0,France,0.31532901525497437,0.40800240635871887,0.27666857838630676
37,Australia,Peru,1,36.0,11.0,0.496,0.218,0.324414716,0.24749163899999999,0,0,0,0.9,-0.18060200699999998,1,Australia,0.3792942762374878,0.3490617573261261,0.2716440260410309
38,Nigeria,Argentina,1,51.0,4.0,0.462385321,0.291743119,0.5372507870000001,0.248688353,2,5,1,0.513761468,0.820566632,0,Argentina,0.22182351350784302,0.54457688331604,0.23359966278076172
